Landsdel;Kommune;Kommunekode
Jylland;Brønderslev-Dronninglund;810
Jylland;Frederikshavn;813
Jylland;Hjørring;860
Jylland;Jammerbugt;849
Jylland;Læsø;825
Jylland;Mariagerfjord;846
Jylland;Morsø;773
Jylland;Rebild;840
Jylland;Thisted;787
Jylland;Vesthimmerland;820
Jylland;Aalborg;851
Jylland;Favrskov;710
Jylland;Hedensted;766
Jylland;Horsens;615
Jylland;Norddjurs;707
Jylland;Odder;727
Jylland;Randers;730
Jylland;Samsø;741
Jylland;Silkeborg;740
Jylland;Skanderborg;746
Jylland;Syddjurs;706
Jylland;Aarhus;751
Jylland;Herning;657
Jylland;Holstebro;661
Jylland;Ikast-Brande;756
Jylland;Lemvig;665
Jylland;Ringkøbing-Skjern;760
Jylland;Skive;779
Jylland;Struer;671
Jylland;Viborg;791
Jylland;Billund;530
Jylland;Esbjerg;561
Jylland;Fanø;563
Jylland;Fredericia;607
Jylland;Haderslev;510
Jylland;Kolding;621
Jylland;Sønderborg;540
Jylland;Tønder;550
Jylland;Varde;573
Jylland;Vejen;575
Jylland;Vejle;630
Jylland;Aabenraa;580
Sealand;København;101
Sealand;Frederiksberg;147
Sealand;Dragør;155
Sealand;Tårnby;185
Sealand;Albertslund;165
Sealand;Ballerup;151
Sealand;Brøndby;153
Sealand;Gentofte;157
Sealand;Gladsaxe;159
Sealand;Glostrup;161
Sealand;Herlev;163
Sealand;Hvidovre;167
Sealand;Høje-Taastrup;169
Sealand;Ishøj;183
Sealand;Lyngby-Taarbæk;173
Sealand;Rødovre;175
Sealand;Vallensbæk;187
Sealand;Allerød;201
Sealand;Egedal;240
Sealand;Fredensborg;210
Sealand;Frederikssund;250
Sealand;Frederiksværk-Hundested;260
Sealand;Furesø;190
Sealand;Gribskov;270
Sealand;Helsingør;217
Sealand;Hillerød;219
Sealand;Hørsholm;223
Sealand;Rudersdal;230
Sealand;Greve;253
Sealand;Køge;259
Sealand;Lejre;350
Sealand;Roskilde;265
Sealand;Solrød;269
Sealand;Faxe;320
Sealand;Guldborgsund;376
Sealand;Holbæk;316
Sealand;Kalundborg;326
Sealand;Lolland;360
Sealand;Næstved;370
Sealand;Odsherred;306
Sealand;Ringsted;329
Sealand;Slagelse;330
Sealand;Sorø;340
Sealand;Stevns;336
Sealand;Vordingborg;390
Fyn;Assens;420
Fyn;Bogense;480
Fyn;Faaborg-Midtfyn;430
Fyn;Kerteminde;440
Fyn;Langeland;482
Fyn;Middelfart;410
Fyn;Nyborg;450
Fyn;Odense;461
Fyn;Svendborg;479
Fyn;Ærø;492
Bornholm;Bornholm;400
Bornholm;Christiansø;411
